City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Esperance,AU,78.64,clear sky,-33.8667,121.9,Hospitality Esperance
1,Isangel,VU,79.5,clear sky,-19.55,169.2667,Tanna Lodge
6,Carnarvon,AU,80.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
9,Pangkalanbuun,ID,82.13,moderate rain,-2.6833,111.6167,Grand Kecubung Hotel
11,Hermanus,ZA,82.9,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
12,Rikitea,PF,77.07,light rain,-23.1203,-134.9692,People ThankYou
14,Corozal,CO,72.66,scattered clouds,9.3151,-75.2928,Hotel Perla De La Sabana
17,Anuradhapura,LK,84.76,clear sky,8.3565,80.4173,Nilketha Villa Eco Hotel
21,Galle,LK,79.38,broken clouds,6.0367,80.217,Amangalla
23,Guiglo,CI,82.13,few clouds,6.5456,-7.4966,Hotel GBAOLY 2
24,Port Alfred,ZA,74.44,overcast clouds,-33.5906,26.891,The Halyards Hotel
26,Victoria,HK,71.56,scattered clouds,22.2855,114.1577,Mini Hotel Central
30,Saint-Philippe,RE,89.11,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
33,Tura,IN,71.55,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
37,Ndende,GA,83.95,scattered clouds,-2.4008,11.3581,
39,Bhainsa,IN,73.65,clear sky,26.9548,76.9012,Satto pawta
43,Rafaela,AR,72.05,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
45,Ulladulla,AU,79.09,light rain,-35.35,150.4667,Sandpiper Motel
46,Lorengau,PG,82.72,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
47,Cabo San Lucas,MX,70.52,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
51,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
53,Atuona,PF,78.01,scattered clouds,-9.8,-139.0333,Villa Enata
56,Sao Filipe,CV,75.4,broken clouds,14.8961,-24.4956,Hotel Xaguate
57,Cape Town,ZA,77.41,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
58,Hithadhoo,MV,82.04,broken clouds,-0.6,73.0833,Scoop Guest House
65,Kruisfontein,ZA,72.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
67,Hambantota,LK,86.34,few clouds,6.1241,81.1185,Bungalow 63
69,Kapaa,US,71.92,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
76,Bengkulu,ID,81.81,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
81,Butaritari,KI,81.28,moderate rain,3.0707,172.7902,Isles Sunset Lodge
83,Aketi,CD,87.78,light rain,2.7388,23.7833,
89,Namibe,AO,78.42,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
92,Sur,OM,82.9,clear sky,22.5667,59.5289,Sur Plaza Hotel
94,Finschhafen,PG,81.64,overcast clouds,-6.6024,147.8681,Cossam Guest House
95,Kahului,US,71.83,light rain,20.8947,-156.47,Maui Seaside Hotel
102,Bredasdorp,ZA,73.27,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
103,Porto Novo,BJ,80.42,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
106,Launceston,AU,73.04,clear sky,-41.45,147.1667,Hotel Grand Chancellor Launceston
109,Mulanje,MW,88.09,light rain,-16.0316,35.5,Mulanje Motel
110,Arraial Do Cabo,BR,72.1,clear sky,-22.9661,-42.0278,Pousada Porto Praia
111,Vaini,TO,78.96,light rain,-21.2,-175.2,Keleti Beach Resort
112,Boyolangu,ID,83.46,moderate rain,-8.1181,111.8935,Yos ega cv
114,Manoel Urbano,BR,71.71,broken clouds,-8.8389,-69.2597,Baixada Beira Rio
119,Dingle,PH,78.48,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
120,Tessalit,ML,70.43,overcast clouds,20.1986,1.0114,
125,Port-Gentil,GA,82.36,scattered clouds,-0.7193,8.7815,Fengshui Residence
127,Ligayan,PH,82.47,overcast clouds,4.6533,119.4706,
128,Caravelas,BR,70.14,light rain,-17.7125,-39.2481,Pousada dos Navegantes
129,Aquiraz,BR,81.18,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
131,Xai-Xai,MZ,78.69,overcast clouds,-25.0519,33.6442,Complexo da Familia
133,East London,ZA,77.94,few clouds,-33.0153,27.9116,Tu Casa
136,Saint-Leu,RE,88.57,overcast clouds,-21.15,55.2833,La Caz Oceane
137,Pabna,BD,77.72,clear sky,24.0,89.25,Hotel Dream Palace International
138,Gurupi,BR,70.65,light rain,-11.7292,-49.0686,Via Norte Hotel
141,Oussouye,SN,71.78,overcast clouds,12.485,-16.5469,Auberge du Routard
147,Port Elizabeth,ZA,75.09,broken clouds,-33.918,25.5701,39 On Nile Guest House
148,Iraray,PH,81.93,overcast clouds,8.9936,118.0511,
149,Tiarei,PF,80.62,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
151,Mahebourg,MU,89.89,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
155,Sal Rei,CV,71.8,clear sky,16.1833,-22.9167,Marine Club Beach Resort
156,Avarua,CK,78.85,light rain,-21.2078,-159.775,Paradise Inn
158,Lar,IN,76.32,clear sky,26.2039,83.9717,Ovaiskarni ward Lar
161,Namatanai,PG,81.36,light rain,-3.6667,152.4333,Seagulls Inn Namatani
163,Sinnamary,GF,76.33,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
168,Vaitape,PF,81.68,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
170,Vila Velha,BR,71.94,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
175,Tutoia,BR,80.4,overcast clouds,-2.7619,-42.2744,Pousada Guará's
176,Charters Towers,AU,77.4,moderate rain,-20.1,146.2667,Cattleman's Rest Motor Inn
177,Cockburn Town,TC,77.67,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
178,Meulaboh,ID,83.35,clear sky,4.1363,96.1285,Kost Pria
179,Sibolga,ID,83.98,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
180,Ballina,AU,73.44,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
187,Kieta,PG,81.21,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
