City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Esperance,AU,-33.8667,121.9,78.64,70,0,26.82,clear sky
1,Isangel,VU,-19.55,169.2667,79.5,81,0,4.12,clear sky
2,Pisco,PE,-13.7,-76.2167,66.25,82,0,5.75,clear sky
3,Punta Arenas,CL,-53.15,-70.9167,50.11,93,0,11.5,clear sky
4,Port Lincoln,AU,-34.7333,135.8667,61.43,69,19,20.96,few clouds
5,Ushuaia,AR,-54.8,-68.3,49.66,71,75,13.8,broken clouds
6,Carnarvon,AU,-24.8667,113.6333,80.67,69,7,24.16,clear sky
7,Kodiak,US,57.79,-152.4072,37.72,73,100,3.69,overcast clouds
8,Vardo,NO,70.3705,31.1107,26.56,86,100,18.03,light snow
9,Pangkalanbuun,ID,-2.6833,111.6167,82.13,79,95,5.82,moderate rain
10,Muscle Shoals,US,34.7448,-87.6675,66.52,78,90,5.99,overcast clouds
11,Hermanus,ZA,-34.4187,19.2345,82.9,71,97,14.2,overcast clouds
12,Rikitea,PF,-23.1203,-134.9692,77.07,73,100,13.58,light rain
13,Pangnirtung,CA,66.1451,-65.7125,11.26,63,99,7.9,overcast clouds
14,Corozal,CO,9.3151,-75.2928,72.66,94,48,1.74,scattered clouds
15,Mataura,NZ,-46.1927,168.8643,52.18,67,100,2.01,overcast clouds
16,Khatanga,RU,71.9667,102.5,-20.47,90,5,7.81,clear sky
17,Anuradhapura,LK,8.3565,80.4173,84.76,47,7,9.22,clear sky
18,Tulsipur,NP,28.131,82.2973,65.3,39,6,5.99,clear sky
19,Killybegs,IE,54.6333,-8.45,46.58,84,100,23.15,moderate rain
20,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,72,0,6.91,clear sky
21,Galle,LK,6.0367,80.217,79.38,72,63,4.79,broken clouds
22,Tasiilaq,GL,65.6145,-37.6368,24.96,60,100,6.35,overcast clouds
23,Guiglo,CI,6.5456,-7.4966,82.13,63,12,2.3,few clouds
24,Port Alfred,ZA,-33.5906,26.891,74.44,68,100,13.11,overcast clouds
25,Jinji,CN,23.2281,110.8261,69.22,52,2,8.75,clear sky
26,Victoria,HK,22.2855,114.1577,71.56,75,50,4.0,scattered clouds
27,Busselton,AU,-33.65,115.3333,102.09,27,0,9.98,clear sky
28,Ostrovnoy,RU,68.0531,39.5131,15.69,88,100,18.12,overcast clouds
29,Matagami,CA,49.7502,-77.6328,10.51,85,90,9.22,snow
30,Saint-Philippe,RE,-21.3585,55.7679,89.11,86,98,3.98,light rain
31,Vestmannaeyjar,IS,63.4427,-20.2734,39.94,80,100,17.27,overcast clouds
32,Norman Wells,CA,65.282,-126.8329,-21.96,69,75,5.75,light snow
33,Tura,IN,25.5198,90.2201,71.55,38,99,4.16,overcast clouds
34,Tuatapere,NZ,-46.1333,167.6833,53.78,84,100,4.0,overcast clouds
35,Longyearbyen,SJ,78.2186,15.6401,8.44,61,0,20.71,clear sky
36,Saint-Augustin,CA,51.226,-58.6502,28.27,74,73,20.02,broken clouds
37,Ndende,GA,-2.4008,11.3581,83.95,68,28,3.29,scattered clouds
38,Boguchany,RU,58.3814,97.4531,-7.67,95,83,0.6,broken clouds
39,Bhainsa,IN,26.9548,76.9012,73.65,34,0,3.0,clear sky
40,Muzhi,RU,65.3667,64.6667,3.58,96,100,6.93,overcast clouds
41,Castro,BR,-24.7911,-50.0119,51.28,97,76,5.12,broken clouds
42,Maarianhamina,AX,60.0973,19.9348,24.66,80,20,11.5,few clouds
43,Rafaela,AR,-31.2503,-61.4867,72.05,60,0,8.9,clear sky
44,Barrow,US,71.2906,-156.7887,-21.98,76,1,8.05,clear sky
45,Ulladulla,AU,-35.35,150.4667,79.09,86,63,3.22,light rain
46,Lorengau,PG,-2.0226,147.2712,82.72,81,100,8.88,overcast clouds
47,Cabo San Lucas,MX,22.8909,-109.9124,70.52,64,100,8.32,overcast clouds
48,Tashla,RU,51.7716,52.7427,7.54,94,28,11.27,scattered clouds
49,Verkhoyansk,RU,67.5447,133.385,-41.98,100,100,1.43,overcast clouds
50,Fukue,JP,32.6881,128.8419,37.76,70,75,19.57,broken clouds
51,Salalah,OM,17.0151,54.0924,80.69,61,0,8.05,clear sky
52,Upernavik,GL,72.7868,-56.1549,4.35,99,85,11.63,overcast clouds
53,Atuona,PF,-9.8,-139.0333,78.01,77,37,14.25,scattered clouds
54,Hammerfest,NO,70.6634,23.6821,18.05,86,68,8.05,broken clouds
55,Colac,AU,-38.3333,143.5833,61.63,59,0,10.71,clear sky
56,Sao Filipe,CV,14.8961,-24.4956,75.4,67,70,9.4,broken clouds
57,Cape Town,ZA,-33.9258,18.4232,77.41,58,0,3.0,clear sky
58,Hithadhoo,MV,-0.6,73.0833,82.04,76,55,10.71,broken clouds
59,Puerto Ayora,EC,-0.7393,-90.3518,69.13,94,64,6.44,broken clouds
60,Qaanaaq,GL,77.484,-69.3632,7.21,75,100,6.96,overcast clouds
61,North Platte,US,41.1239,-100.7654,21.09,86,1,0.0,clear sky
62,Mar Del Plata,AR,-38.0023,-57.5575,66.09,90,90,3.0,light intensity drizzle
63,Ribeira Grande,PT,38.5167,-28.7,66.6,88,75,28.77,mist
64,Georgetown,MY,5.4112,100.3354,91.33,77,20,1.01,few clouds
65,Kruisfontein,ZA,-34.0033,24.7314,72.88,61,100,16.75,overcast clouds
66,Kaitangata,NZ,-46.2817,169.8464,56.88,87,91,3.91,overcast clouds
67,Hambantota,LK,6.1241,81.1185,86.34,62,20,11.5,few clouds
68,Talnakh,RU,69.4865,88.3972,13.21,88,100,10.63,overcast clouds
69,Kapaa,US,22.0752,-159.319,71.92,83,90,14.97,light rain
70,Haines Junction,CA,60.7522,-137.5108,-5.85,77,83,2.3,broken clouds
71,Ilulissat,GL,69.2167,-51.1,21.22,35,4,3.44,clear sky
72,Tavda,RU,58.0425,65.2726,3.51,88,97,9.08,overcast clouds
73,Hobart,AU,-42.8794,147.3294,64.26,44,0,1.01,clear sky
74,Ahipara,NZ,-35.1667,173.1667,63.73,82,100,2.62,overcast clouds
75,Pevek,RU,69.7008,170.3133,-27.74,100,73,1.1,broken clouds
76,Bengkulu,ID,-3.8004,102.2655,81.81,82,85,9.01,overcast clouds
77,Cherskiy,RU,68.75,161.3,-22.2,98,100,8.03,overcast clouds
78,Mantua,IT,45.1667,10.7833,43.7,92,100,1.01,overcast clouds
79,Zhigansk,RU,66.7697,123.3711,-43.62,98,100,6.24,overcast clouds
80,Severo-Kurilsk,RU,50.6789,156.125,27.27,61,62,17.13,broken clouds
81,Butaritari,KI,3.0707,172.7902,81.28,79,100,10.56,moderate rain
82,Albany,US,42.6001,-73.9662,33.39,88,100,4.07,light snow
83,Aketi,CD,2.7388,23.7833,87.78,55,90,3.18,light rain
84,Ushtobe,KZ,45.2514,77.9838,39.87,68,99,1.39,overcast clouds
85,Luau,AO,-10.7073,22.2247,65.82,97,100,4.63,light rain
86,Tuktoyaktuk,CA,69.4541,-133.0374,-13.02,98,100,7.49,overcast clouds
87,Palafrugell,ES,41.9174,3.1631,52.72,96,54,3.62,broken clouds
88,Ketchikan,US,55.3422,-131.6461,9.45,73,1,9.06,clear sky
89,Namibe,AO,-15.1961,12.1522,78.42,44,75,8.88,broken clouds
90,Chuy,UY,-33.6971,-53.4616,65.59,87,70,9.42,broken clouds
91,Baykit,RU,61.67,96.37,-12.06,95,37,2.19,scattered clouds
92,Sur,OM,22.5667,59.5289,82.9,38,0,3.09,clear sky
93,Jamestown,US,42.097,-79.2353,49.71,97,90,8.01,mist
94,Finschhafen,PG,-6.6024,147.8681,81.64,80,99,2.44,overcast clouds
95,Kahului,US,20.8947,-156.47,71.83,81,1,11.5,light rain
96,Dongsheng,CN,39.8161,109.9776,4.62,28,0,13.6,clear sky
97,Tahta,EG,26.7693,31.5021,57.52,32,0,15.12,clear sky
98,Saskylakh,RU,71.9167,114.0833,-39.15,100,51,2.93,broken clouds
99,New Norfolk,AU,-42.7826,147.0587,63.9,40,3,8.01,clear sky
100,Mahajanga,MG,-15.7167,46.3167,91.42,66,20,11.5,few clouds
101,Yakima,US,46.4665,-120.6678,37.83,78,1,1.01,clear sky
102,Bredasdorp,ZA,-34.5322,20.0403,73.27,68,100,23.02,overcast clouds
103,Porto Novo,BJ,6.4965,2.6036,80.42,55,17,2.21,few clouds
104,Bluff,NZ,-46.6,168.3333,57.09,70,100,7.34,overcast clouds
105,Panaba,MX,21.2833,-88.2667,61.54,86,0,6.78,clear sky
106,Launceston,AU,-41.45,147.1667,73.04,44,0,3.0,clear sky
107,Gat,IL,31.61,34.7642,60.78,39,59,4.65,broken clouds
108,Faya,SA,18.3851,42.4509,66.31,40,1,10.16,clear sky
109,Mulanje,MW,-16.0316,35.5,88.09,51,100,3.8,light rain
110,Arraial Do Cabo,BR,-22.9661,-42.0278,72.1,72,3,4.68,clear sky
111,Vaini,TO,-21.2,-175.2,78.96,94,20,6.91,light rain
112,Boyolangu,ID,-8.1181,111.8935,83.46,75,66,7.52,moderate rain
113,Nome,US,64.5011,-165.4064,25.16,93,90,19.57,mist
114,Manoel Urbano,BR,-8.8389,-69.2597,71.71,98,81,2.08,broken clouds
