City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Gorgan,IR,2021-12-25 06:05:33,36.8387,54.4348,48.25,77,87,5.5
1,Mataura,NZ,2021-12-25 06:00:58,-46.1927,168.8643,61.48,38,19,6.26
2,Vaini,TO,2021-12-25 06:05:33,-21.2,-175.2,82.56,89,40,5.75
3,Kapaa,US,2021-12-25 06:05:33,22.0752,-159.319,73.72,81,75,1.99
4,Port Elizabeth,ZA,2021-12-25 06:01:11,-33.918,25.5701,70.09,78,40,5.75
5,Cape Town,ZA,2021-12-25 06:00:59,-33.9258,18.4232,70.11,67,0,3.0
6,Flin Flon,CA,2021-12-25 06:05:34,54.7682,-101.865,-11.11,87,99,11.7
7,Laguna,US,2021-12-25 06:05:34,38.421,-121.4238,50.25,91,90,1.01
8,Busselton,AU,2021-12-25 06:05:34,-33.65,115.3333,99.05,26,0,6.8
9,Muzhi,RU,2021-12-25 06:05:35,65.3667,64.6667,2.41,96,100,5.7
10,Payakumbuh,ID,2021-12-25 06:05:35,-0.2202,100.6308,82.26,70,72,2.19
11,Buchanan,LR,2021-12-25 06:05:35,5.8808,-10.0467,76.28,89,48,1.97
12,Sorong,ID,2021-12-25 06:05:36,-0.8833,131.25,84.25,72,100,5.97
13,Catalina,US,2021-12-25 06:05:36,32.5056,-110.9211,58.08,87,77,6.38
14,Yellowknife,CA,2021-12-25 06:05:36,62.456,-114.3525,-8.81,89,100,10.29
15,Atuona,PF,2021-12-25 06:05:36,-9.8,-139.0333,78.33,77,23,13.31
16,Zurrieq,MT,2021-12-25 06:05:37,35.8311,14.4742,58.96,94,20,6.91
17,Port Hedland,AU,2021-12-25 06:05:37,-20.3167,118.5667,95.05,55,9,17.27
18,Lebu,CL,2021-12-25 06:05:38,-37.6167,-73.65,55.47,89,0,17.63
19,Gorin,RU,2021-12-25 06:05:38,51.1983,136.6669,-11.61,87,34,3.65
20,Pacifica,US,2021-12-25 06:05:38,37.6138,-122.4869,51.66,84,20,3.0
21,Jamestown,US,2021-12-25 06:01:46,42.097,-79.2353,49.01,92,90,7.0
22,Katherine,AU,2021-12-25 06:05:39,-14.4667,132.2667,80.92,83,90,10.36
23,Punta Arenas,CL,2021-12-25 06:05:39,-53.15,-70.9167,48.31,87,0,5.75
24,Qaanaaq,GL,2021-12-25 06:05:39,77.484,-69.3632,3.33,81,100,5.23
25,Silver City,US,2021-12-25 06:05:40,32.7701,-108.2803,48.31,80,1,25.99
26,Hearst,CA,2021-12-25 06:05:40,49.6835,-83.6665,28.35,95,100,8.93
